,DATA,VALOR_REEMBOLSADO
222,2011-08-11,57868.99
223,2011-08-12,33052.67
224,2011-08-13,37367.89
225,2011-08-14,30839.25
226,2011-08-15,139056.44
227,2011-08-16,70575.93
228,2011-08-17,75482.39
229,2011-08-18,81507.12
230,2011-08-19,38671.33
231,2011-08-20,18860.05
232,2011-08-21,13032.17
233,2011-08-22,65748.89
234,2011-08-23,44696.31
235,2011-08-24,80040.71
236,2011-08-25,81899.56999999999
237,2011-08-26,77591.46
238,2011-08-27,15872.97
239,2011-08-28,28138.05
240,2011-08-29,87949.45999999999
241,2011-08-30,114345.03
242,2011-08-31,128063.35
243,2011-09-01,183816.1
244,2011-09-02,72226.31999999999
245,2011-09-03,12011.45
246,2011-09-04,35484.85
247,2011-09-05,122316.11
248,2011-09-06,46056.65
249,2011-09-07,15698.699999999999
250,2011-09-08,28131.5
251,2011-09-09,91731.94
252,2011-09-10,23492.260000000002
253,2011-09-11,17418.41
254,2011-09-12,114623.32
255,2011-09-13,82492.55
256,2011-09-14,47705.34
257,2011-09-15,113753.82
258,2011-09-16,91536.45
259,2011-09-17,23451.81
260,2011-09-18,27389.59
261,2011-09-19,116161.13
262,2011-09-20,57985.01
263,2011-09-21,55075.74
264,2011-09-22,76473.23
265,2011-09-23,65276.47
266,2011-09-24,15439.33
267,2011-09-25,13771.59
268,2011-09-26,96423.20999999999
269,2011-09-27,45064.75
270,2011-09-28,81600.23
271,2011-09-29,174775.49
272,2011-09-30,189473.63
273,2011-10-01,91062.35
274,2011-10-02,22773.56
275,2011-10-03,140974.93
276,2011-10-04,135761.26
277,2011-10-05,120627.15
278,2011-10-06,90044.20999999999
279,2011-10-07,40342.69
280,2011-10-08,13676.91
281,2011-10-09,24505.54
282,2011-10-10,82233.89
283,2011-10-11,68986.92
284,2011-10-12,10391.59
285,2011-10-13,75728.91
286,2011-10-14,75133.63
287,2011-10-15,35397.6
288,2011-10-16,19682.09
289,2011-10-17,97946.79
290,2011-10-18,49878.44
291,2011-10-19,93793.53
292,2011-10-20,77054.34999999999
293,2011-10-21,72540.87
294,2011-10-22,12497.76
295,2011-10-23,12982.210000000001
296,2011-10-24,102110.54
297,2011-10-25,36997.65
298,2011-10-26,56154.36
299,2011-10-27,73465.9
300,2011-10-28,72859.53
301,2011-10-29,17381.86
302,2011-10-30,60098.09
303,2011-10-31,136393.57
304,2011-11-01,173488.0
305,2011-11-02,9478.039999999999
306,2011-11-03,100959.33
307,2011-11-04,108030.04
308,2011-11-05,38465.909999999996
309,2011-11-06,24140.73
310,2011-11-07,217618.96
311,2011-11-08,81659.24
312,2011-11-09,92604.55
313,2011-11-10,80952.66
314,2011-11-11,70811.55
315,2011-11-12,15016.97
316,2011-11-13,7707.76
317,2011-11-14,63052.64
318,2011-11-15,26420.9
319,2011-11-16,99177.98
320,2011-11-17,95561.31
321,2011-11-18,113112.9
322,2011-11-19,17961.95
323,2011-11-20,19996.14
324,2011-11-21,103521.22
325,2011-11-22,99098.19
326,2011-11-23,50428.28
327,2011-11-24,75157.05
328,2011-11-25,107324.0
329,2011-11-26,22764.67
330,2011-11-27,28073.44
331,2011-11-28,108590.92
332,2011-11-29,56559.61
333,2011-11-30,190735.42
334,2011-12-01,193457.09
335,2011-12-02,95193.37
336,2011-12-03,17256.52
337,2011-12-04,16267.43
338,2011-12-05,186765.95
339,2011-12-06,115305.09
340,2011-12-07,119570.05
341,2011-12-08,118920.15
342,2011-12-09,239244.58000000002
343,2011-12-10,39310.49
344,2011-12-11,30727.309999999998
345,2011-12-12,213943.74
346,2011-12-13,174281.79
347,2011-12-14,115867.19
348,2011-12-15,170789.67
349,2011-12-16,63995.28
350,2011-12-17,11814.79
351,2011-12-18,6332.69
352,2011-12-19,156722.41
353,2011-12-20,117860.18
354,2011-12-21,63932.049999999996
355,2011-12-22,91409.55
356,2011-12-23,36451.12
357,2011-12-24,8788.48
358,2011-12-25,7581.55
359,2011-12-26,44374.13
360,2011-12-27,73858.41
361,2011-12-28,72802.52
362,2011-12-29,43463.3
363,2011-12-30,46546.56
364,2011-12-31,30433.6
365,2012-01-01,26302.63
366,2012-01-02,53128.44
367,2012-01-03,27088.53
368,2012-01-04,49486.46
369,2012-01-05,90185.68
370,2012-01-06,14339.28
371,2012-01-07,10755.88
372,2012-01-08,10688.83
373,2012-01-09,38848.72
374,2012-01-10,46079.99
375,2012-01-11,50756.39
376,2012-01-12,44076.47
377,2012-01-13,23974.67
378,2012-01-14,21369.079999999998
379,2012-01-15,12618.35
380,2012-01-16,23807.14
381,2012-01-17,27518.66
382,2012-01-18,27799.14
383,2012-01-19,50898.57
384,2012-01-20,32353.73
385,2012-01-21,7114.969999999999
386,2012-01-22,6630.629999999999
387,2012-01-23,46939.99
388,2012-01-24,51146.61
389,2012-01-25,63457.97
390,2012-01-26,52641.76
391,2012-01-27,50192.67
392,2012-01-28,14955.88
393,2012-01-29,19307.54
394,2012-01-30,116844.81999999999
395,2012-01-31,137111.16
396,2012-02-01,194503.37
397,2012-02-02,65016.229999999996
398,2012-02-03,62222.43
399,2012-02-04,11708.84
400,2012-02-05,69836.4
401,2012-02-06,86315.66
402,2012-02-07,66871.9
403,2012-02-08,68724.62
404,2012-02-09,88329.31999999999
405,2012-02-10,102152.98
406,2012-02-11,9545.73
407,2012-02-12,19650.05
408,2012-02-13,65934.83
409,2012-02-14,81371.19
410,2012-02-15,96304.65000000001
411,2012-02-16,55346.46
412,2012-02-17,54067.6
413,2012-02-18,15386.800000000001
414,2012-02-19,8923.83
415,2012-02-20,16796.3
416,2012-02-21,2978.69
417,2012-02-22,26582.52
418,2012-02-23,76214.3
419,2012-02-24,49133.69
420,2012-02-25,17892.81
421,2012-02-26,26966.21
422,2012-02-27,118724.09
423,2012-02-28,144050.99
424,2012-02-29,135527.85
425,2012-03-01,252915.96
426,2012-03-02,82359.8
427,2012-03-03,13656.02
428,2012-03-04,14825.289999999999
429,2012-03-05,162907.42
430,2012-03-06,111589.33
431,2012-03-07,126432.71
432,2012-03-08,63739.08
433,2012-03-09,52178.33
434,2012-03-10,17706.079999999998
435,2012-03-11,16686.11
436,2012-03-12,81634.1
437,2012-03-13,75907.29
438,2012-03-14,91490.94
439,2012-03-15,113142.62
440,2012-03-16,50482.79
441,2012-03-17,12886.130000000001
442,2012-03-18,29065.81
443,2012-03-19,110276.6
444,2012-03-20,74915.49
445,2012-03-21,38947.53
446,2012-03-22,77458.67
447,2012-03-23,53304.04
448,2012-03-24,5752.9400000000005
449,2012-03-25,20960.64
450,2012-03-26,125830.21
451,2012-03-27,160901.3
452,2012-03-28,65837.13
453,2012-03-29,137792.9
454,2012-03-30,145565.56
455,2012-03-31,71001.43
456,2012-04-01,56871.83
457,2012-04-02,178123.38
458,2012-04-03,56592.42
459,2012-04-04,68128.79
460,2012-04-05,81283.66
461,2012-04-06,13662.77
462,2012-04-07,11688.12
463,2012-04-08,18216.43
464,2012-04-09,118830.5
465,2012-04-10,86939.22
466,2012-04-11,45859.41
467,2012-04-12,90331.4
468,2012-04-13,79371.14
469,2012-04-14,23447.76
470,2012-04-15,35417.78
471,2012-04-16,68798.92
472,2012-04-17,49890.08
473,2012-04-18,81091.98999999999
474,2012-04-19,93448.33
475,2012-04-20,61848.3
476,2012-04-21,8924.43
477,2012-04-22,22480.02
478,2012-04-23,65187.27
479,2012-04-24,48014.45
480,2012-04-25,59532.1
481,2012-04-26,116733.34
482,2012-04-27,85738.06999999999
483,2012-04-28,22455.12
484,2012-04-29,5542.849999999999
485,2012-04-30,138534.01
486,2012-05-01,61795.31
487,2012-05-02,167446.65
488,2012-05-03,71404.81
489,2012-05-04,53103.55
490,2012-05-05,60180.6
491,2012-05-06,13610.210000000001
492,2012-05-07,54943.99
493,2012-05-08,61817.840000000004
494,2012-05-09,52344.79
495,2012-05-10,104236.37
496,2012-05-11,49220.82
497,2012-05-12,26071.96
498,2012-05-13,13334.26
499,2012-05-14,105947.81
500,2012-05-15,62543.06
501,2012-05-16,49896.72
502,2012-05-17,60090.63
503,2012-05-18,51998.18
504,2012-05-19,28564.56
505,2012-05-20,9341.65
506,2012-05-21,107667.53
507,2012-05-22,40107.47
508,2012-05-23,78478.29
509,2012-05-24,87070.1
510,2012-05-25,65641.1
511,2012-05-26,11559.42
512,2012-05-27,17667.88
513,2012-05-28,86901.98
514,2012-05-29,38898.41
515,2012-05-30,130412.53
516,2012-05-31,170167.58
517,2012-06-01,245639.52
518,2012-06-02,15138.53
519,2012-06-03,23629.18
520,2012-06-04,125393.59
521,2012-06-05,110682.65
522,2012-06-06,94715.85
523,2012-06-07,13710.86
524,2012-06-08,16533.2
525,2012-06-09,20081.3
526,2012-06-10,25345.26
527,2012-06-11,101233.26000000001
528,2012-06-12,67420.25
529,2012-06-13,58104.67
530,2012-06-14,58502.25
531,2012-06-15,88611.45
532,2012-06-16,24945.32
533,2012-06-17,16643.64
534,2012-06-18,45331.75
535,2012-06-19,82540.70999999999
536,2012-06-20,75427.95
537,2012-06-21,51244.71
538,2012-06-22,42242.01
539,2012-06-23,18481.26
540,2012-06-24,8567.9
541,2012-06-25,150089.34
542,2012-06-26,96698.87
543,2012-06-27,89917.52
544,2012-06-28,95715.86
545,2012-06-29,75331.3
546,2012-06-30,92063.27
547,2012-07-01,74569.57
548,2012-07-02,159286.94
549,2012-07-03,106910.54
550,2012-07-04,99841.55
551,2012-07-05,121114.29
552,2012-07-06,74963.11
553,2012-07-07,19066.11
554,2012-07-08,19823.75
555,2012-07-09,83520.62
556,2012-07-10,70975.31
557,2012-07-11,59034.29
558,2012-07-12,54897.18
559,2012-07-13,54172.86
560,2012-07-14,24987.92
561,2012-07-15,16105.05
562,2012-07-16,59153.7
563,2012-07-17,61822.0
564,2012-07-18,67885.17
565,2012-07-19,31981.89
566,2012-07-20,137435.06
567,2012-07-21,12220.16
568,2012-07-22,7732.41
569,2012-07-23,32597.440000000002
570,2012-07-24,27790.53
571,2012-07-25,58838.49
572,2012-07-26,55450.71
573,2012-07-27,54670.46
574,2012-07-28,10014.960000000001
575,2012-07-29,6918.93
576,2012-07-30,71449.13
577,2012-07-31,176271.26
578,2012-08-01,147940.81
579,2012-08-02,75468.85
580,2012-08-03,56883.39
581,2012-08-04,10517.91
582,2012-08-05,58628.17
583,2012-08-06,131592.83
584,2012-08-07,76012.56
585,2012-08-08,108992.45999999999
586,2012-08-09,47216.8
